EC,True,SWIPE
enzyme;EC_number:2.7.-,1,0
/note="PMID:11258796oldEC_number=1.14.-,1,0
2.1.-,5784,148849
2.2.-,1137,11250
6.2.-,1165,14005
3.-.-,146,0
1.21.-,27,757
5.3.-,2025,19077
3.6.-,6146,196391
3.8.-,99,575
5.-.-,76,0
enzyme;EC_number:3.5.-,1,0
3.7.-,87,1502
6.1.-,5407,80355
1.1.-,7128,59128
3.1.-,6734,202628
1.22.-,0,6
1.8.-,1513,13159
1.7.-,554,8288
1.18.-,371,5340
1.9.-,455,3992
2.4.-,4784,105536
1.19.-,3,0
3.4.-,4508,181290
/note="unknownEC_number=2.4.-,1,0
3.5.-,5381,64584
1.6.-,2823,36396
3.11.-,12,173
1.-.-,487,0
3.10.-,0,23
:enzyme;EC_number:3.2.-,1,0
6.-.-,71,0
4.1.-,4855,43108
1.15.-,224,1387
5.5.-,66,1207
2.-.-,155,0
1.14.-,1060,43868
1.97.-,115,1408
1.12.-,206,2131
4.6.-,296,16900
2.5.-,4122,38432
3.9.-,1,80
22.1.-,1,0
1.2.-,3528,31610
1.13.-,381,6071
3.13.-,13,76
1.3.-,2740,28866
4.7.-,0,103
1.5.-,994,11227
1.20.-,92,366
enzyme;EC_number:4.1.-,1,0
2.3.-,6032,182690
5.4.-,2115,24840
Producttypet:transporter;EC_number:3.6.-,1,0
5.99.-,950,13867
5.2.-,531,14792
2.8.-,953,26356
1.4.-,1420,15656
1.23.-,0,93
6.6.-,218,1531
/note="unknownEC_number=2.1.-,1,0
typee:enzyme;EC_number:3.5.-,1,0
5.1.-,1829,15476
1.17.-,1110,10236
6.3.-,6015,78191
4.3.-,1276,11644
3.3.-,230,1843
1.16.-,100,1857
4.2.-,7053,57986
4.99.-,259,3529
4.4.-,440,2869
2.7.-,16856,952391
6.4.-,736,7036
1.10.-,328,3742
2.6.-,2482,18361
4.-.-,20,0
2.10.-,2,3802
3.2.-,2079,71930
6.5.-,448,10381
4.5.-,0,38
1.11.-,616,14136
2.9.-,73,1494
